model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
LocalOutlierFactor,3,0.50476,0.53571,0.5714285714285714,0.5238095238095238,0.28571,0.78571,0.08248,"[0.         0.         0.         0.14285714 0.14285714 0.35714286
 0.35714286 0.35714286 0.42857143 0.42857143 0.5        0.5
 0.57142857 0.57142857 0.71428571 0.71428571 0.92857143 0.92857143
 1.         1.        ]","[0.         0.07142857 0.14285714 0.14285714 0.21428571 0.21428571
 0.35714286 0.5        0.5        0.57142857 0.57142857 0.64285714
 0.64285714 0.71428571 0.71428571 0.78571429 0.78571429 0.92857143
 0.92857143 1.        ]",0.4744897959183674
IsolationForest,3,0.45806,0.46429,0.45454545454545453,0.47058823529411764,0.35714,0.57143,-0.07313,"[0.         0.         0.07142857 0.07142857 0.35714286 0.35714286
 0.64285714 0.64285714 0.78571429 0.78571429 0.85714286 0.85714286
 1.        ]","[0.         0.07142857 0.07142857 0.28571429 0.28571429 0.5
 0.5        0.71428571 0.71428571 0.92857143 0.92857143 1.
 1.        ]",0.4591836734693877
Xgboost,3,0.56188,0.60714,0.8,0.5652173913043478,0.28571,0.92857,0.27975,"[0.         0.07142857 0.21428571 0.21428571 0.35714286 0.35714286
 0.42857143 0.42857143 0.57142857 0.57142857 0.71428571 0.71428571
 0.85714286 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.14285714
 0.14285714 0.21428571 0.21428571 0.35714286 0.35714286 0.71428571
 0.71428571 0.85714286 0.85714286 1.         1.        ]",0.6632653061224489
RandomForest,4,0.61111,0.64286,0.8333333333333334,0.5909090909090909,0.35714,0.92857,0.34816,"[0.         0.07142857 0.14285714 0.14285714 0.35714286 0.42857143
 0.71428571 0.71428571 0.78571429 0.85714286 0.85714286 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.14285714
 0.28571429 0.71428571 0.71428571 0.85714286 0.92857143 1.        ]",0.6709183673469388
DecisionTree,4,0.66798,0.67857,0.7777777777777778,0.631578947368421,0.5,0.85714,0.38236,"[0.         0.07142857 0.21428571 0.5        0.5        0.64285714
 0.71428571 0.85714286 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.         0.         0.14285714 0.21428571 0.5
 0.57142857 0.57142857 0.71428571 0.78571429 0.92857143 1.        ]",0.6862244897959183
KNN,4,0.59064,0.64286,1.0,0.5833333333333334,0.28571,1.0,0.40825,[0.         0.14285714 0.28571429 0.57142857 1.         1.        ],[0.         0.         0.         0.42857143 0.71428571 1.        ],0.6938775510204082
OneClassSVM,4,0.35238,0.39286,0.42857142857142855,0.2857142857142857,0.64286,0.14286,-0.24744,"[0.         0.07142857 0.28571429 0.28571429 0.35714286 0.35714286
 0.42857143 0.42857143 0.5        0.5        0.64285714 0.64285714
 0.71428571 0.71428571 0.85714286 0.85714286 1.        ]","[0.         0.         0.         0.14285714 0.14285714 0.28571429
 0.28571429 0.35714286 0.35714286 0.64285714 0.64285714 0.78571429
 0.78571429 0.92857143 0.92857143 1.         1.        ]",0.5204081632653061
LocalOutlierFactor,4,0.49744,0.5,0.5,0.5,0.42857,0.57143,0.0,"[0.         0.         0.28571429 0.28571429 0.35714286 0.35714286
 0.57142857 0.57142857 0.78571429 0.78571429 0.92857143 0.92857143
 1.         1.        ]","[0.         0.07142857 0.07142857 0.21428571 0.21428571 0.5
 0.5        0.71428571 0.71428571 0.78571429 0.78571429 0.92857143
 0.92857143 1.        ]",0.5255102040816326
IsolationForest,4,0.4269,0.5,0.5,0.5,0.14286,0.85714,0.0,"[0.         0.         0.         0.21428571 0.21428571 0.28571429
 0.28571429 0.5        0.5        0.57142857 0.57142857 0.71428571
 0.71428571 0.85714286 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.07142857 0.21428571 0.21428571 0.28571429 0.28571429
 0.35714286 0.35714286 0.5        0.5        0.64285714 0.64285714
 0.78571429 0.78571429 0.92857143 0.92857143 1.         1.        ]",0.4795918367346939
Xgboost,4,0.56188,0.60714,0.8,0.5652173913043478,0.28571,0.92857,0.27975,"[0.         0.07142857 0.28571429 0.28571429 0.35714286 0.35714286
 0.64285714 0.64285714 0.71428571 0.71428571 0.78571429 0.78571429
 0.85714286 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.14285714
 0.14285714 0.21428571 0.21428571 0.64285714 0.64285714 0.85714286
 0.85714286 0.92857143 0.92857143 1.         1.        ]",0.6938775510204082
RandomForest,5,0.64154,0.67857,1.0,0.6086956521739131,0.35714,1.0,0.46625,"[0.         0.07142857 0.42857143 0.42857143 0.5        0.5
 0.71428571 0.71428571 0.85714286 0.85714286 1.         1.        ]","[0.         0.         0.         0.14285714 0.14285714 0.35714286
 0.35714286 0.5        0.5        0.78571429 0.78571429 1.        ]",0.7295918367346939
DecisionTree,5,0.62567,0.64286,0.75,0.6,0.42857,0.85714,0.31623,"[0.         0.07142857 0.14285714 0.42857143 0.42857143 0.5
 0.5        0.64285714 0.78571429 0.78571429 0.78571429 0.85714286
 1.         1.        ]","[0.         0.         0.         0.14285714 0.21428571 0.42857143
 0.57142857 0.57142857 0.57142857 0.71428571 0.78571429 0.85714286
 0.92857143 1.        ]",0.6071428571428572
KNN,5,0.67484,0.67857,0.7272727272727273,0.6470588235294118,0.57143,0.78571,0.36564,"[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.42857143
 0.64285714 0.64285714 0.71428571 1.        ]","[0.         0.         0.         0.14285714 0.14285714 0.21428571
 0.21428571 0.64285714 0.64285714 1.        ]",0.653061224489796
OneClassSVM,5,0.35238,0.39286,0.42857142857142855,0.2857142857142857,0.64286,0.14286,-0.24744,"[0.         0.07142857 0.28571429 0.28571429 0.42857143 0.42857143
 0.5        0.5        0.57142857 0.57142857 0.64285714 0.64285714
 0.71428571 0.71428571 0.85714286 0.85714286 1.        ]","[0.         0.         0.         0.14285714 0.14285714 0.35714286
 0.35714286 0.57142857 0.57142857 0.64285714 0.64285714 0.78571429
 0.78571429 0.85714286 0.85714286 1.         1.        ]",0.5459183673469388
LocalOutlierFactor,5,0.53512,0.53571,0.5333333333333333,0.5384615384615384,0.57143,0.5,0.07161,"[0.         0.         0.         0.28571429 0.28571429 0.42857143
 0.42857143 0.57142857 0.57142857 0.78571429 0.78571429 0.85714286
 0.85714286 1.         1.        ]","[0.         0.07142857 0.21428571 0.21428571 0.35714286 0.35714286
 0.5        0.5        0.64285714 0.64285714 0.71428571 0.71428571
 0.78571429 0.78571429 1.        ]",0.5153061224489797
IsolationForest,5,0.53544,0.60714,1.0,0.56,0.21429,1.0,0.34641,"[0.         0.         0.07142857 0.07142857 0.28571429 0.28571429
 0.42857143 0.42857143 0.64285714 0.64285714 0.71428571 0.71428571
 0.78571429 0.78571429 1.        ]","[0.         0.07142857 0.07142857 0.14285714 0.14285714 0.28571429
 0.28571429 0.35714286 0.35714286 0.57142857 0.57142857 0.78571429
 0.78571429 1.         1.        ]",0.5357142857142858
Xgboost,5,0.50877,0.57143,0.75,0.5416666666666666,0.21429,0.92857,0.20412,"[0.         0.07142857 0.21428571 0.21428571 0.35714286 0.35714286
 0.5        0.5        0.57142857 0.57142857 0.71428571 0.71428571
 0.78571429 0.78571429 0.85714286 0.85714286 0.92857143 0.92857143
 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.14285714
 0.14285714 0.21428571 0.21428571 0.28571429 0.28571429 0.71428571
 0.71428571 0.78571429 0.78571429 0.92857143 0.92857143 1.
 1.        ]",0.6683673469387755
RandomForest,6,0.59064,0.64286,1.0,0.5833333333333334,0.28571,1.0,0.40825,"[0.         0.07142857 0.42857143 0.42857143 0.64285714 0.64285714
 0.71428571 0.71428571 0.78571429 0.78571429 0.85714286 0.85714286
 0.92857143 0.92857143 1.        ]","[0.         0.         0.         0.14285714 0.14285714 0.28571429
 0.28571429 0.42857143 0.42857143 0.64285714 0.64285714 0.78571429
 0.78571429 1.         1.        ]",0.7448979591836735
DecisionTree,6,0.56188,0.60714,0.8,0.5652173913043478,0.28571,0.92857,0.27975,"[0.         0.07142857 0.14285714 0.21428571 0.28571429 0.5
 0.5        0.64285714 0.85714286 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.14285714
 0.21428571 0.5        0.5        1.        ]",0.7040816326530612
KNN,6,0.58095,0.60714,0.7142857142857143,0.5714285714285714,0.35714,0.85714,0.24744,[0.         0.14285714 0.35714286 0.71428571 1.        ],[0.         0.         0.14285714 0.64285714 1.        ],0.6096938775510203
OneClassSVM,6,0.45806,0.46429,0.47058823529411764,0.45454545454545453,0.57143,0.35714,-0.07313,"[0.         0.07142857 0.35714286 0.35714286 0.42857143 0.42857143
 0.64285714 0.64285714 0.71428571 0.71428571 0.78571429 0.78571429
 0.85714286 0.85714286 1.        ]","[0.         0.         0.         0.28571429 0.28571429 0.57142857
 0.57142857 0.71428571 0.71428571 0.78571429 0.78571429 0.92857143
 0.92857143 1.         1.        ]",0.5408163265306123
LocalOutlierFactor,6,0.5,0.5,0.5,0.5,0.5,0.5,0.0,"[0.         0.         0.         0.07142857 0.07142857 0.21428571
 0.21428571 0.28571429 0.28571429 0.42857143 0.42857143 0.5
 0.5        0.71428571 0.71428571 0.78571429 0.78571429 0.85714286
 0.85714286 1.         1.        ]","[0.         0.07142857 0.14285714 0.14285714 0.21428571 0.21428571
 0.28571429 0.28571429 0.35714286 0.35714286 0.42857143 0.42857143
 0.5        0.5        0.64285714 0.64285714 0.71428571 0.71428571
 0.78571429 0.78571429 1.        ]",0.5408163265306122
IsolationForest,6,0.45806,0.46429,0.45454545454545453,0.47058823529411764,0.35714,0.57143,-0.07313,"[0.         0.         0.07142857 0.07142857 0.5        0.5
 0.64285714 0.64285714 0.71428571 0.71428571 0.92857143 0.92857143
 1.        ]","[0.         0.07142857 0.07142857 0.28571429 0.28571429 0.57142857
 0.57142857 0.78571429 0.78571429 0.85714286 0.85714286 1.
 1.        ]",0.47959183673469397
Xgboost,6,0.56188,0.60714,0.8,0.5652173913043478,0.28571,0.92857,0.27975,"[0.         0.07142857 0.21428571 0.21428571 0.35714286 0.35714286
 0.5        0.5        0.57142857 0.57142857 0.71428571 0.71428571
 0.78571429 0.78571429 0.92857143 0.92857143 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.14285714
 0.14285714 0.21428571 0.21428571 0.28571429 0.28571429 0.57142857
 0.57142857 0.71428571 0.71428571 1.         1.        ]",0.6989795918367347
RandomForest,7,0.56188,0.60714,0.8,0.5652173913043478,0.28571,0.92857,0.27975,"[0.         0.07142857 0.28571429 0.28571429 0.42857143 0.42857143
 0.5        0.5        0.64285714 0.64285714 0.71428571 0.71428571
 0.78571429 0.78571429 0.78571429 0.85714286 0.85714286 0.92857143
 0.92857143 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.14285714
 0.14285714 0.21428571 0.21428571 0.42857143 0.42857143 0.57142857
 0.57142857 0.71428571 0.85714286 0.85714286 0.92857143 0.92857143
 1.         1.        ]",0.6785714285714286
DecisionTree,7,0.63542,0.64286,0.7,0.6111111111111112,0.5,0.78571,0.29814,"[0.         0.07142857 0.21428571 0.5        0.5        0.64285714
 0.71428571 0.85714286 0.85714286 0.92857143 1.        ]","[0.         0.         0.         0.14285714 0.21428571 0.5
 0.57142857 0.57142857 0.71428571 0.92857143 1.        ]",0.6811224489795918
KNN,7,0.62567,0.64286,0.75,0.6,0.42857,0.85714,0.31623,"[0.         0.07142857 0.21428571 0.42857143 0.64285714 0.78571429
 1.        ]","[0.         0.         0.         0.14285714 0.42857143 0.71428571
 1.        ]",0.6581632653061225
OneClassSVM,7,0.35238,0.39286,0.42857142857142855,0.2857142857142857,0.64286,0.14286,-0.24744,"[0.         0.07142857 0.28571429 0.28571429 0.42857143 0.42857143
 0.5        0.5        0.57142857 0.57142857 0.64285714 0.64285714
 0.71428571 0.71428571 0.85714286 0.85714286 1.        ]","[0.         0.         0.         0.14285714 0.14285714 0.35714286
 0.35714286 0.57142857 0.57142857 0.64285714 0.64285714 0.78571429
 0.78571429 0.85714286 0.85714286 1.         1.        ]",0.5459183673469388
LocalOutlierFactor,7,0.52042,0.53571,0.5555555555555556,0.5263157894736842,0.35714,0.71429,0.07647,"[0.         0.         0.14285714 0.14285714 0.35714286 0.35714286
 0.42857143 0.42857143 0.5        0.5        0.57142857 0.57142857
 0.64285714 0.64285714 0.71428571 0.71428571 0.92857143 0.92857143
 1.        ]","[0.         0.07142857 0.07142857 0.14285714 0.14285714 0.28571429
 0.28571429 0.42857143 0.42857143 0.5        0.5        0.57142857
 0.57142857 0.71428571 0.71428571 0.78571429 0.78571429 1.
 1.        ]",0.5408163265306123
IsolationForest,7,0.4269,0.5,0.5,0.5,0.14286,0.85714,0.0,"[0.         0.07142857 0.07142857 0.28571429 0.28571429 0.35714286
 0.35714286 0.42857143 0.42857143 0.5        0.5        0.64285714
 0.64285714 0.85714286 0.85714286 1.         1.        ]","[0.         0.         0.07142857 0.07142857 0.14285714 0.14285714
 0.28571429 0.28571429 0.42857143 0.42857143 0.5        0.5
 0.78571429 0.78571429 0.85714286 0.85714286 1.        ]",0.5612244897959184
Xgboost,7,0.56188,0.60714,0.8,0.5652173913043478,0.28571,0.92857,0.27975,"[0.         0.07142857 0.21428571 0.21428571 0.28571429 0.28571429
 0.64285714 0.64285714 0.85714286 0.85714286 1.         1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.14285714
 0.14285714 0.5        0.5        0.78571429 0.78571429 1.        ]",0.7244897959183674
RandomForest,8,0.50877,0.57143,0.75,0.5416666666666666,0.21429,0.92857,0.20412,"[0.         0.07142857 0.21428571 0.21428571 0.28571429 0.42857143
 0.5        0.57142857 0.64285714 0.71428571 0.85714286 1.
 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.07142857
 0.21428571 0.28571429 0.42857143 0.5        0.71428571 0.85714286
 1.        ]",0.6989795918367347
DecisionTree,8,0.48222,0.53571,0.6,0.5217391304347826,0.21429,0.85714,0.09325,"[0.         0.07142857 0.21428571 0.21428571 0.28571429 0.28571429
 0.57142857 0.64285714 0.78571429 0.78571429 0.78571429 0.85714286
 1.         1.        ]","[0.         0.         0.14285714 0.21428571 0.42857143 0.57142857
 0.57142857 0.57142857 0.57142857 0.71428571 0.78571429 0.78571429
 0.85714286 1.        ]",0.5076530612244898
KNN,8,0.67484,0.67857,0.7272727272727273,0.6470588235294118,0.57143,0.78571,0.36564,"[0.         0.14285714 0.21428571 0.21428571 0.42857143 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 0.78571429 0.78571429
 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.21428571
 0.21428571 0.35714286 0.35714286 0.5        0.5        0.64285714
 1.        ]",0.6913265306122449
OneClassSVM,8,0.26316,0.35714,0.4166666666666667,0.0,0.71429,0.0,-0.40825,"[0.         0.07142857 0.35714286 0.35714286 0.42857143 0.42857143
 0.64285714 0.64285714 0.71428571 0.71428571 0.78571429 0.78571429
 0.85714286 0.85714286 1.        ]","[0.         0.         0.         0.28571429 0.28571429 0.57142857
 0.57142857 0.71428571 0.71428571 0.78571429 0.78571429 0.92857143
 0.92857143 1.         1.        ]",0.5408163265306123
LocalOutlierFactor,8,0.50476,0.53571,0.5714285714285714,0.5238095238095238,0.28571,0.78571,0.08248,"[0.         0.         0.         0.14285714 0.14285714 0.35714286
 0.35714286 0.35714286 0.42857143 0.42857143 0.5        0.5
 0.57142857 0.57142857 0.71428571 0.71428571 0.92857143 0.92857143
 1.         1.        ]","[0.         0.07142857 0.14285714 0.14285714 0.21428571 0.21428571
 0.35714286 0.5        0.5        0.57142857 0.57142857 0.64285714
 0.64285714 0.71428571 0.71428571 0.78571429 0.78571429 0.92857143
 0.92857143 1.        ]",0.4744897959183674
IsolationForest,8,0.45098,0.53571,0.6666666666666666,0.52,0.14286,0.92857,0.11547,"[0.         0.07142857 0.07142857 0.14285714 0.14285714 0.28571429
 0.28571429 0.35714286 0.35714286 0.42857143 0.42857143 0.5
 0.5        0.64285714 0.64285714 0.71428571 0.71428571 0.78571429
 0.78571429 0.85714286 0.85714286 1.        ]","[0.         0.         0.14285714 0.14285714 0.21428571 0.21428571
 0.28571429 0.28571429 0.35714286 0.35714286 0.42857143 0.42857143
 0.5        0.5        0.57142857 0.57142857 0.78571429 0.78571429
 0.92857143 0.92857143 1.         1.        ]",0.5051020408163265
